,Item 1,Item 2,,,support,confidence,lift,,conviction
824,"frozenset({'pip fruit', 'root vegetables'})",frozenset({'whole milk'}),,,0.008947636,0.575163399,2.250987675,,1.752400766
1627,"frozenset({'other vegetables', 'curd'})",frozenset({'whole milk'}),,,0.009862735,0.573964497,2.246295594,,1.747469355
1127,"frozenset({'butter', 'other vegetables'})",frozenset({'whole milk'}),,,0.011489578,0.573604061,2.244884974,,1.745992205
3472,"frozenset({'tropical fruit', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.007930859,0.573529412,2.244592823,,1.745686587
3903,"frozenset({'whipped/sour cream', 'domestic eggs'})",frozenset({'whole milk'}),,,0.00569395,0.571428571,2.236370871,,1.7371293
3496,"frozenset({'tropical fruit', 'whipped/sour cream', 'other vegetables'})",frozenset({'whole milk'}),,,0.004473818,0.571428571,2.236370871,,1.7371293
564,"frozenset({'tropical fruit', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.00701576,0.570247934,2.23175027,,1.732356967
1639,"frozenset({'root vegetables', 'curd'})",frozenset({'whole milk'}),,,0.006202339,0.570093458,2.231145706,,1.731734489
552,"frozenset({'tropical fruit', 'root vegetables'})",frozenset({'whole milk'}),,,0.011997966,0.570048309,2.230969009,,1.731552641
1176,"frozenset({'butter', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.005795628,0.57,2.94584866,,1.875598539
4032,"frozenset({'frozen vegetables', 'tropical fruit'})",frozenset({'whole milk'}),,,0.004982206,0.569767442,2.229869793,,1.730422237
763,"frozenset({'tropical fruit', 'pip fruit', 'whole milk'})",frozenset({'other vegetables'}),,,0.004778851,0.56626506,2.92654591,,1.859447551
3478,"frozenset({'tropical fruit', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.007829181,0.566176471,2.926088065,,1.85906784
3497,"frozenset({'tropical fruit', 'whipped/sour cream', 'whole milk'})",frozenset({'other vegetables'}),,,0.004473818,0.564102564,2.915369794,,1.850222794
1657,"frozenset({'whipped/sour cream', 'curd'})",frozenset({'whole milk'}),,,0.005897306,0.563106796,2.203802364,,1.704041123
2608,"frozenset({'yogurt', 'root vegetables'})",frozenset({'whole milk'}),,,0.014539908,0.562992126,2.203353585,,1.703593985
3548,"frozenset({'sausage', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.005083884,0.561797753,2.198679228,,1.698950634
1294,"frozenset({'yogurt', 'bottled beer'})",frozenset({'whole milk'}),,,0.005185562,0.56043956,2.193363739,,1.693701068
3122,"frozenset({'brown bread', 'root vegetables'})",frozenset({'whole milk'}),,,0.00569395,0.56,2.191643454,,1.692009059
154,"frozenset({'citrus fruit', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.005795628,0.558823529,2.187039161,,1.687497034
526,"frozenset({'rolls/buns', 'tropical fruit', 'yogurt'})",frozenset({'whole milk'}),,,0.004880529,0.558139535,2.184362247,,1.68488481
1206,"frozenset({'butter', 'pip fruit'})",frozenset({'other vegetables'}),,,0.004067107,0.555555556,2.871197524,,1.814641586
3626,"frozenset({'whipped/sour cream', 'pork'})",frozenset({'whole milk'}),,,0.004575496,0.555555556,2.174249458,,1.675088968
1102,"frozenset({'citrus fruit', 'butter'})",frozenset({'whole milk'}),,,0.005083884,0.555555556,2.174249458,,1.675088968
1919,"frozenset({'yogurt', 'frankfurter'})",frozenset({'whole milk'}),,,0.006202339,0.554545455,2.170296278,,1.67129058
3560,"frozenset({'pastry', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.004168785,0.554054054,2.168373108,,1.669448938
3566,"frozenset({'pastry', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.004168785,0.554054054,2.863437531,,1.808531682
3372,"frozenset({'whipped/sour cream', 'root vegetables'})",frozenset({'whole milk'}),,,0.009456024,0.553571429,2.166484282,,1.667644128
1212,"frozenset({'sausage', 'butter'})",frozenset({'whole milk'}),,,0.004778851,0.552941176,2.164017696,,1.665293126
3855,"frozenset({'other vegetables', 'domestic eggs'})",frozenset({'whole milk'}),,,0.012302999,0.552511416,2.162335763,,1.663693805
1985,"frozenset({'root vegetables', 'chicken'})",frozenset({'whole milk'}),,,0.005998983,0.551401869,2.157993388,,1.659578885
3513,"frozenset({'tropical fruit', 'whipped/sour cream', 'whole milk'})",frozenset({'yogurt'}),,,0.00437214,0.551282051,3.951792255,,1.917681749
1096,"frozenset({'tropical fruit', 'butter'})",frozenset({'other vegetables'}),,,0.005490595,0.551020408,2.847759177,,1.796311873
2263,"frozenset({'root vegetables', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),,,0.006609049,0.550847458,2.846865342,,1.795620186
67,"frozenset({'citrus fruit', 'tropical fruit', 'whole milk'})",frozenset({'other vegetables'}),,,0.004982206,0.550561798,2.845389007,,1.794478902
66,"frozenset({'citrus fruit', 'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.004982206,0.550561798,2.154705643,,1.656476868
3458,"frozenset({'yogurt', 'whipped/sour cream', 'other vegetables'})",frozenset({'whole milk'}),,,0.005592272,0.55,2.152506964,,1.654408857
2659,"frozenset({'soda', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.004473818,0.55,2.842485549,,1.792238604
3638,"frozenset({'rolls/buns', 'pork'})",frozenset({'whole milk'}),,,0.006202339,0.54954955,2.150744059,,1.652754448
3867,"frozenset({'citrus fruit', 'domestic eggs'})",frozenset({'whole milk'}),,,0.00569395,0.549019608,2.148670053,,1.650812316
1895,"frozenset({'tropical fruit', 'frankfurter'})",frozenset({'whole milk'}),,,0.005185562,0.548387097,2.146194627,,1.648500254
3385,"frozenset({'whipped/sour cream', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.005185562,0.548387097,2.834149814,,1.785837751
1997,"frozenset({'rolls/buns', 'chicken'})",frozenset({'whole milk'}),,,0.005287239,0.547368421,2.142207887,,1.644790201
1770,"frozenset({'pork', 'beef'})",frozenset({'other vegetables'}),,,0.004168785,0.546666667,2.825258364,,1.779060379
4015,"frozenset({'frozen vegetables', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004270463,0.545454545,2.13471765,,1.637864769
2658,"frozenset({'soda', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.004473818,0.543209877,2.125932804,,1.629816293
3984,"frozenset({'frozen vegetables', 'other vegetables'})",frozenset({'whole milk'}),,,0.00965938,0.542857143,2.124552328,,1.628558719
2257,"frozenset({'root vegetables', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.006507372,0.542372881,2.122657098,,1.626835376
3300,"frozenset({'rolls/buns', 'hamburger meat'})",frozenset({'other vegetables'}),,,0.004677173,0.541176471,2.796884177,,1.757772477
1534,"frozenset({'yogurt', 'white bread'})",frozenset({'whole milk'}),,,0.004880529,0.539325843,2.110732058,,1.616074993
3554,"frozenset({'sausage', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.004880529,0.539325843,2.787319844,,1.750711124
3789,"frozenset({'yogurt', 'domestic eggs'})",frozenset({'whole milk'}),,,0.007727504,0.539007092,2.109484581,,1.614957569
2621,"frozenset({'yogurt', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.007829181,0.538461538,2.782852985,,1.747432639
287,"frozenset({'rolls/buns', 'margarine'})",frozenset({'whole milk'}),,,0.007930859,0.537931034,2.105273269,,1.611196686
2287,"frozenset({'yogurt', 'whole milk', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),,,0.005083884,0.537634409,2.778578249,,1.744306641
2470,"frozenset({'pastry', 'root vegetables'})",frozenset({'other vegetables'}),,,0.005897306,0.537037037,2.77549094,,1.742055923
3776,"frozenset({'whole milk', 'root vegetables', 'domestic eggs'})",frozenset({'other vegetables'}),,,0.004575496,0.535714286,2.768654756,,1.7370928
3990,"frozenset({'frozen vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.006202339,0.535087719,2.094145531,,1.601342913
3410,"frozenset({'rolls/buns', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.007829181,0.534722222,2.092715104,,1.600084984
3110,"frozenset({'tropical fruit', 'brown bread'})",frozenset({'whole milk'}),,,0.00569395,0.533333333,2.08727948,,1.595322827
3092,"frozenset({'newspapers', 'brown bread'})",frozenset({'whole milk'}),,,0.004067107,0.533333333,2.08727948,,1.595322827
1000,"frozenset({'long life bakery product', 'other vegetables'})",frozenset({'whole milk'}),,,0.00569395,0.533333333,2.08727948,,1.595322827
3915,"frozenset({'bottled water', 'domestic eggs'})",frozenset({'whole milk'}),,,0.004880529,0.533333333,2.08727948,,1.595322827
934,"frozenset({'yogurt', 'cream cheese '})",frozenset({'whole milk'}),,,0.006609049,0.532786885,2.085140874,,1.593456952
305,"frozenset({'root vegetables', 'margarine'})",frozenset({'other vegetables'}),,,0.005897306,0.532110092,2.750027721,,1.723711833
737,"frozenset({'yogurt', 'pip fruit', 'whole milk'})",frozenset({'other vegetables'}),,,0.005083884,0.531914894,2.749018906,,1.722993021
718,"frozenset({'yogurt', 'pip fruit'})",frozenset({'whole milk'}),,,0.009557702,0.531073446,2.078435075,,1.587634524
3996,"frozenset({'frozen vegetables', 'root vegetables'})",frozenset({'other vegetables'}),,,0.006100661,0.526315789,2.720081865,,1.702626673
3446,"frozenset({'yogurt', 'whipped/sour cream'})",frozenset({'whole milk'}),,,0.010879512,0.524509804,2.052747283,,1.565718898
366,"frozenset({'yogurt', 'soda', 'other vegetables'})",frozenset({'whole milk'}),,,0.00437214,0.524390244,2.052279367,,1.565325303
1979,"frozenset({'root vegetables', 'chicken'})",frozenset({'other vegetables'}),,,0.00569395,0.523364486,2.70482907,,1.692084093
3434,"frozenset({'citrus fruit', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.00569395,0.523364486,2.70482907,,1.692084093
1006,"frozenset({'yogurt', 'long life bakery product'})",frozenset({'whole milk'}),,,0.004575496,0.523255814,2.047839606,,1.561600556
1528,"frozenset({'tropical fruit', 'white bread'})",frozenset({'whole milk'}),,,0.004575496,0.523255814,2.047839606,,1.561600556
2554,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'whole milk'}),,,0.01270971,0.523012552,2.046887565,,1.560804146
830,"frozenset({'pip fruit', 'root vegetables'})",frozenset({'other vegetables'}),,,0.008134215,0.522875817,2.702303552,,1.690351067
2142,"frozenset({'newspapers', 'root vegetables'})",frozenset({'other vegetables'}),,,0.005998983,0.522123894,2.698417496,,1.687691352
393,"frozenset({'rolls/buns', 'yogurt', 'other vegetables'})",frozenset({'whole milk'}),,,0.005998983,0.522123894,2.043409668,,1.557901674
1794,"frozenset({'yogurt', 'beef'})",frozenset({'whole milk'}),,,0.006100661,0.52173913,2.041903839,,1.556648334
672,"frozenset({'yogurt', 'coffee'})",frozenset({'whole milk'}),,,0.005083884,0.520833333,2.038358867,,1.553705709
512,"frozenset({'rolls/buns', 'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.004067107,0.519480519,2.033064429,,1.549331538
1121,"frozenset({'butter', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004168785,0.518987342,2.031134304,,1.547743023
812,"frozenset({'sausage', 'pip fruit'})",frozenset({'whole milk'}),,,0.005592272,0.518867925,2.030666947,,1.547358872
2464,"frozenset({'pastry', 'root vegetables'})",frozenset({'whole milk'}),,,0.00569395,0.518518519,2.029299494,,1.54623597
2914,"frozenset({'sausage', 'tropical fruit'})",frozenset({'whole milk'}),,,0.007219115,0.518248175,2.028241466,,1.545368273
818,"frozenset({'pip fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.013523132,0.517509728,2.025351441,,1.5430031
426,"frozenset({'yogurt', 'tropical fruit'})",frozenset({'whole milk'}),,,0.015149975,0.517361111,2.024769808,,1.542527971
128,"frozenset({'citrus fruit', 'root vegetables'})",frozenset({'whole milk'}),,,0.009150991,0.517241379,2.02430122,,1.542145399
2402,"frozenset({'yogurt', 'pastry'})",frozenset({'whole milk'}),,,0.009150991,0.517241379,2.02430122,,1.542145399
2896,"frozenset({'sausage', 'root vegetables'})",frozenset({'whole milk'}),,,0.007727504,0.517006803,2.023383169,,1.541396421
3032,"frozenset({'shopping bags', 'root vegetables'})",frozenset({'other vegetables'}),,,0.006609049,0.515873016,2.666111987,,1.665900473
2003,"frozenset({'rolls/buns', 'chicken'})",frozenset({'other vegetables'}),,,0.004982206,0.515789474,2.665680228,,1.66561305
3650,"frozenset({'pork', 'root vegetables'})",frozenset({'other vegetables'}),,,0.00701576,0.514925373,2.661214422,,1.662645966
1604,"frozenset({'tropical fruit', 'curd'})",frozenset({'yogurt'}),,,0.005287239,0.514851485,3.690644575,,1.773680006
1609,"frozenset({'tropical fruit', 'curd'})",frozenset({'other vegetables'}),,,0.005287239,0.514851485,2.660832557,,1.662392746
3459,"frozenset({'yogurt', 'whipped/sour cream', 'whole milk'})",frozenset({'other vegetables'}),,,0.005592272,0.514018692,2.656528551,,1.659544015
406,"frozenset({'yogurt', 'other vegetables'})",frozenset({'whole milk'}),,,0.022267412,0.512880562,2.007234512,,1.528339721
1150,"frozenset({'butter', 'root vegetables'})",frozenset({'other vegetables'}),,,0.006609049,0.511811024,2.645118979,,1.652039294
2729,"frozenset({'rolls/buns', 'waffles'})",frozenset({'whole milk'}),,,0.004677173,0.511111111,2.000309502,,1.522808153
3668,"frozenset({'yogurt', 'pork'})",frozenset({'whole milk'}),,,0.004880529,0.510638298,1.998459077,,1.52133684
3769,"frozenset({'root vegetables', 'domestic eggs'})",frozenset({'other vegetables'}),,,0.007320793,0.510638298,2.63905815,,1.648080281
3909,"frozenset({'whipped/sour cream', 'domestic eggs'})",frozenset({'other vegetables'}),,,0.005083884,0.510204082,2.636814053,,1.646619217
2566,"frozenset({'rolls/buns', 'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.006202339,0.508333333,1.989438254,,1.514204717
2440,"frozenset({'pastry', 'tropical fruit'})",frozenset({'whole milk'}),,,0.006710727,0.507692308,1.986929505,,1.512233096
3342,"frozenset({'whipped/sour cream', 'other vegetables'})",frozenset({'whole milk'}),,,0.014641586,0.507042254,1.984385421,,1.510238943
1162,"frozenset({'butter', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.004168785,0.50617284,2.615979967,,1.633177428
3306,"frozenset({'rolls/buns', 'hamburger meat'})",frozenset({'whole milk'}),,,0.00437214,0.505882353,1.979845977,,1.506693781
2275,"frozenset({'yogurt', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.009456024,0.505434783,1.978094344,,1.505330257
762,"frozenset({'tropical fruit', 'pip fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.004778851,0.505376344,1.977865636,,1.505152406
1634,"frozenset({'root vegetables', 'curd'})",frozenset({'other vegetables'}),,,0.005490595,0.504672897,2.608228031,,1.628231863
2136,"frozenset({'newspapers', 'root vegetables'})",frozenset({'whole milk'}),,,0.005795628,0.504424779,1.974141544,,1.502262328
439,"frozenset({'yogurt', 'tropical fruit', 'whole milk'})",frozenset({'other vegetables'}),,,0.007625826,0.503355705,2.601420576,,1.623913492
2548,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'other vegetables'}),,,0.012201322,0.50209205,2.594889813,,1.619792116
2313,"frozenset({'pip fruit', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004778851,0.5,1.956824513,,1.488967972
1108,"frozenset({'citrus fruit', 'butter'})",frozenset({'other vegetables'}),,,0.004575496,0.5,2.584077772,,1.613014743
2325,"frozenset({'pastry', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004270463,0.5,1.956824513,,1.488967972
3367,"frozenset({'whipped/sour cream', 'root vegetables'})",frozenset({'other vegetables'}),,,0.008540925,0.5,2.584077772,,1.613014743
1740,"frozenset({'rolls/buns', 'beef'})",frozenset({'whole milk'}),,,0.006812405,0.5,1.956824513,,1.488967972
4002,"frozenset({'rolls/buns', 'frozen vegetables'})",frozenset({'whole milk'}),,,0.005083884,0.5,1.956824513,,1.488967972
2614,"frozenset({'yogurt', 'root vegetables'})",frozenset({'other vegetables'}),,,0.012913066,0.5,2.584077772,,1.613014743
1913,"frozenset({'root vegetables', 'frankfurter'})",frozenset({'whole milk'}),,,0.005083884,0.5,1.956824513,,1.488967972
104,"frozenset({'pastry', 'citrus fruit'})",frozenset({'whole milk'}),,,0.004880529,0.5,1.956824513,,1.488967972
3422,"frozenset({'whipped/sour cream', 'bottled water'})",frozenset({'whole milk'}),,,0.00437214,0.5,1.956824513,,1.488967972
3140,"frozenset({'other vegetables', 'brown bread'})",frozenset({'whole milk'}),,,0.009354347,0.5,1.956824513,,1.488967972
3656,"frozenset({'pork', 'root vegetables'})",frozenset({'whole milk'}),,,0.006812405,0.5,1.956824513,,1.488967972
2198,"frozenset({'other vegetables', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.010472801,0.497584541,1.947371254,,1.481809472
1012,frozenset({'butter'}),frozenset({'whole milk'}),,,0.027554652,0.497247706,1.946053001,,1.480816687
3238,"frozenset({'yogurt', 'napkins'})",frozenset({'whole milk'}),,,0.006100661,0.495867769,1.940652409,,1.476763316
3644,"frozenset({'rolls/buns', 'pork'})",frozenset({'other vegetables'}),,,0.005592272,0.495495495,2.560797792,,1.598612826
3250,"frozenset({'tropical fruit', 'napkins'})",frozenset({'whole milk'}),,,0.004982206,0.494949495,1.937058608,,1.474078292
3134,"frozenset({'pastry', 'brown bread'})",frozenset({'whole milk'}),,,0.004778851,0.494736842,1.93622636,,1.473457888
1468,"frozenset({'yogurt', 'chocolate'})",frozenset({'whole milk'}),,,0.004575496,0.494505495,1.935320946,,1.472783537
3537,"frozenset({'whipped/sour cream', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004473818,0.494382022,1.93483772,,1.472423883
141,"frozenset({'citrus fruit', 'tropical fruit', 'other vegetables'})",frozenset({'root vegetables'}),,,0.004473818,0.494382022,4.53567835,,1.762203016
1837,"frozenset({'rolls/buns', 'soda', 'whole milk'})",frozenset({'other vegetables'}),,,0.00437214,0.494252874,2.554375729,,1.59468503
3632,"frozenset({'whipped/sour cream', 'pork'})",frozenset({'other vegetables'}),,,0.004067107,0.49382716,2.552175577,,1.593343832
323,"frozenset({'yogurt', 'margarine'})",frozenset({'whole milk'}),,,0.00701576,0.492857143,1.928869877,,1.467996592
1138,"frozenset({'rolls/buns', 'butter'})",frozenset({'whole milk'}),,,0.006609049,0.492424242,1.927175656,,1.466744569
4020,"frozenset({'yogurt', 'frozen vegetables'})",frozenset({'whole milk'}),,,0.006100661,0.491803279,1.924745422,,1.464952359
1547,frozenset({'curd'}),frozenset({'whole milk'}),,,0.026131164,0.490458015,1.919480533,,1.461084676
3452,"frozenset({'yogurt', 'whipped/sour cream'})",frozenset({'other vegetables'}),,,0.010167768,0.490196078,2.53340958,,1.581995229
3256,"frozenset({'root vegetables', 'napkins'})",frozenset({'whole milk'}),,,0.004880529,0.489795918,1.916889318,,1.459188612
3098,"frozenset({'yogurt', 'brown bread'})",frozenset({'whole milk'}),,,0.007117438,0.48951049,1.91577225,,1.458372739
3662,"frozenset({'yogurt', 'pork'})",frozenset({'other vegetables'}),,,0.004677173,0.489361702,2.529097394,,1.579410269
2542,"frozenset({'other vegetables', 'root vegetables'})",frozenset({'whole milk'}),,,0.023182511,0.489270386,1.91483257,,1.457687132
947,"frozenset({'cream cheese ', 'other vegetables'})",frozenset({'whole milk'}),,,0.006710727,0.488888889,1.913339523,,1.456599103
2567,"frozenset({'rolls/buns', 'whole milk', 'root vegetables'})",frozenset({'other vegetables'}),,,0.006202339,0.488,2.522059905,,1.57520971
2289,"frozenset({'other vegetables', 'whole milk', 'fruit/vegetable juice'})",frozenset({'yogurt'}),,,0.005083884,0.485436893,3.479789974,,1.672288995
311,"frozenset({'bottled water', 'margarine'})",frozenset({'whole milk'}),,,0.004982206,0.485148515,1.898701012,,1.446016972
2269,"frozenset({'sausage', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.004880529,0.484848485,1.8975268,,1.445174796
3720,"frozenset({'yogurt', 'dessert'})",frozenset({'whole milk'}),,,0.004778851,0.484536082,1.896304167,,1.444298932
2203,"frozenset({'tropical fruit', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),,,0.006609049,0.481481481,2.488371188,,1.555407074
1992,"frozenset({'whole milk', 'chicken'})",frozenset({'other vegetables'}),,,0.008439248,0.479768786,2.479519712,,1.550286392
269,"frozenset({'tropical fruit', 'margarine'})",frozenset({'whole milk'}),,,0.004473818,0.47826087,1.871745186,,1.426927639
678,"frozenset({'coffee', 'other vegetables'})",frozenset({'whole milk'}),,,0.006405694,0.477272727,1.867877944,,1.424230234
1522,"frozenset({'tropical fruit', 'white bread'})",frozenset({'other vegetables'}),,,0.004168785,0.476744186,2.463888108,,1.541325199
4038,"frozenset({'frozen vegetables', 'tropical fruit'})",frozenset({'other vegetables'}),,,0.004168785,0.476744186,2.463888108,,1.541325199
880,"frozenset({'pastry', 'pip fruit'})",frozenset({'whole milk'}),,,0.005083884,0.476190476,1.863642393,,1.421287609
452,"frozenset({'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),,,0.017081851,0.47592068,1.862586505,,1.42055593
